brand_id,colour
75,Green
75,Green
75,Green
75,Black
75,Black
75,Orange
75,Olive
75,Cream
75,Pink
75,Sea Green
75,Blue
75,Pink
75,Mustard
75,Navy Blue
75,Maroon
75,Mustard
75,Red
75,Green
75,Navy Blue
75,Red
75,Pink
75,Green
75,Green
75,Burgundy
75,Red
75,Blue
75,Green
75,Purple
75,Mustard
75,Mustard
75,Pink
75,Mustard
75,Black
75,Blue
75,Multi
75,Yellow
75,Coffee Brown
76,Blue
76,Black
77,Sea Green
77,Rust
77,Teal
77,Burgundy
77,Blue
77,Pink
77,Pink
77,Green
77,Black
77,Black
77,Black
77,Black
77,Navy Blue
77,Black
77,Burgundy
77,Navy Blue
77,Navy Blue
77,Black
77,Navy Blue
77,Black
77,Maroon
77,Blue
78,Pink
78,Grey
78,Blue
78,Green
78,Blue
78,Blue
79,Pink
79,Navy Blue
79,Black
79,Navy Blue
79,Teal
79,Teal
79,Grey
79,Maroon
79,Green
79,Red
79,Pink
79,Mustard
79,Green
79,Teal
79,Blue
79,Maroon
79,Red
79,Navy Blue
79,Pink
79,Red
79,Red
79,Navy Blue
79,Teal
79,Teal
79,Navy Blue
79,Black
79,Pink
80,White
80,Orange
80,Black
80,Red
80,Black
80,Black
80,Beige
80,Pink
80,Navy Blue
80,Red
80,Blue
80,Peach
81,Blue
81,Black
81,Lavender
82,Grey
82,Pink
82,Red
82,Maroon
82,Pink
82,Pink
82,Blue
82,Black
82,Pink
82,Yellow
82,Beige
82,Red
83,Navy Blue
83,Black
83,Pink
83,Green
84,Red
84,Orange
84,White
84,Pink
84,Red
84,Blue
84,Red
84,White
84,Red
84,Yellow
84,Green
84,Orange
84,Blue
84,Grey
84,Green
84,Red
84,Blue
84,Pink
85,Mauve
85,Navy Blue
85,Mustard
86,Green
86,Pink
86,Blue
87,Black
87,Maroon
87,Black
87,Maroon
87,Maroon
88,Pink
89,Brown
89,Grey
89,Mustard
89,Maroon
89,Maroon
89,Black
90,Off White
90,Beige
91,Navy Blue
91,Grey
91,Maroon
91,Black
91,Peach
91,Maroon
92,Off White
92,Lavender
93,Olive
94,Black
94,Black
94,Cream
94,Off White
94,Black
95,Fuchsia
95,Burgundy
95,White
95,Fuchsia
95,Black
95,Black
95,Orange
95,Black
95,Black
95,Pink
95,Sea Green
95,Green
95,Grey
95,White
95,Lavender
95,Coral
95,Black
95,Burgundy
95,Beige
95,Lavender
95,Charcoal
95,Burgundy
95,Pink
95,Teal
95,Mauve
95,Peach
95,Lavender
95,Pink
95,Red
95,Lime Green
95,Blue
95,Beige
95,Pink
95,Lime Green
95,Fuchsia
95,Teal
95,Black
95,Blue
95,Multi
95,Green
95,Black
95,Blue
95,Lime Green
95,Beige
95,Pink
95,Green
95,Burgundy
95,Pink
95,Coral
95,Brown
95,Red
95,Blue
95,Green
95,Green
95,Mustard
95,Teal
95,Mustard
